sep=,
//Automation Builder IO Mappings Export V1.0
//Important: change only first and fourth column in Excel
*Variable,Channel name,Data type,*Description,Terminal,Device name,Device type,Device path,Parameter ID,Device Guid,
iC_SteerExtendRam_S1,Digital input I3,BOOL,-A1_1:1.3  I3 : =S1+F-S4 Steering Extend Command S1,="1.3",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I3,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iEStop_MainBeam,Digital input I4,BOOL,-A1_1:1.4  I4 : =G+A-S8 E-Stop Mainbeam,="1.4",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I4,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iQ_AuxTrafoSec_400V,Digital input I5,BOOL,-A1_1:1.5  I5 : =S1+R-Q81 Aux. Trafo Secondary 400V CB,="1.5",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I5,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iC_SteerRetractRam_S1,Digital input I6,BOOL,-A1_1:1.6  I6 : =S1+F-S3 Steering Retract Command S1,="1.6",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I6,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital input I7,BOOL,,="1.7",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte0.Digital_Input_I7,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital inputs I8 - I15,BYTE,,,S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iQ_TravelBrakes,Digital input I8,BOOL,-A1_1:2.0  I8 : =S1+F-Q8 Travel Brakes CB,="2.0",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I8,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iC_SteerRam1_S1,Digital input I9,BOOL,-A1_1:2.1  I9 : =S1+F-S5-1 Steering Ram 1 Command S1,="2.1",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I9,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital input I10,BOOL,,="2.2",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I10,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iEHouseTempOK,Digital input I11,BOOL,-A1_1:2.3 I11 : =S1+A-S3 E-House Temperature OK,="2.3",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I11,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital input I12,BOOL,,="2.4",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I12,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iC_SteerRam2_S1,Digital input I13,BOOL,-A1_1:2.5 I13 : =S1+F-S5-2 Steering Ram 2 Command S1,="2.5",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I13,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iF_WarningBells,Digital input I14,BOOL,-A1_1:2.6 I14 : =S1+A-F9 Warning Bells supply,="2.6",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I14,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iF_24V_DC_SupplyF13,Digital input I15,BOOL,-A1_1:2.7 I15 : =S1+A-F13 Control Voltage 24V DC supply F13,="2.7",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte1.Digital_Input_I15,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital inputs I16 - I23,BYTE,,,S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iF_24V_DC_SupplyF12,Digital input I16,BOOL,-A1_1:3.0 I16 : =S1+A-F12 Control Voltage 24V DC supply F12,="3.0",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2.Digital_Input_I16,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iC_SpareSwitch2_S1,Digital input I17,BOOL,-A1_1:3.1 I17 : =S1+A-S15 Spare Switch 2 Prewired Command S1,="3.1",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2.Digital_Input_I17,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iC_SteerRam3_S1,Digital input I18,BOOL,-A1_1:3.2 I18 : =S1+F-S5-3 Steering Ram 3 Command S1,="3.2",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2.Digital_Input_I18,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iF_115V_AC_SupplyF10,Digital input I19,BOOL,-A1_1:3.3 I19 : =S1+A-F10 Control Voltage 115V AC supply F10,="3.3",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2.Digital_Input_I19,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iC_SteerRam4_S1,Digital input I20,BOOL,-A1_1:3.4 I20 : =S1+F-S5-4 Steering Ram 4 Command S1,="3.4",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2.Digital_Input_I20,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital input I21,BOOL,,="3.5",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2.Digital_Input_I21,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iC_SpareSwitch1_S1,Digital input I22,BOOL,-A1_1:3.6 I22 : =S1+A-S14 Spare Switch 1 Prewired Command S1,="3.6",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2.Digital_Input_I22,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital input I23,BOOL,,="3.7",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte2.Digital_Input_I23,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital inputs I24 - I31,BYTE,,,S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
